order,species,n
Chiroptera,Mormopterus minutus,77
Chiroptera,Mormopterus phrudus,3
Chiroptera,Mosia nigrescens,566
Chiroptera,Murina aenea,39
Chiroptera,Murina annamitica,23
Chiroptera,Murina aurata,58
Chiroptera,Murina beelzebub,1
Chiroptera,Murina bicolor,3
Chiroptera,Murina chrysochaetes,4
Chiroptera,Murina cyclotis,373
Chiroptera,Murina eleryi,56
Chiroptera,Murina fanjingshanensis,1
Chiroptera,Murina feae,42
Chiroptera,Murina fionae,7
Chiroptera,Murina florium,46
Chiroptera,Murina fusca,1
Chiroptera,Murina gracilis,100
Chiroptera,Murina guilleni,3
Chiroptera,Murina harpioloides,6
Chiroptera,Murina harrisoni,48
Chiroptera,Murina hilgendorfi,159
Chiroptera,Murina hkakaboraziensis,3
Chiroptera,Murina huttonii,106
Chiroptera,Murina jaintiana,12
Chiroptera,Murina jinchui,5
Chiroptera,Murina kontumensis,1
Chiroptera,Murina leucogaster,82
Chiroptera,Murina lorelieae,6
Chiroptera,Murina peninsularis,42
Chiroptera,Murina pluvialis,6
Chiroptera,Murina puta,9
Chiroptera,Murina recondita,129
Chiroptera,Murina rongjiangensis,9
Chiroptera,Murina rozendaali,33
Chiroptera,Murina ryukyuana,1
Chiroptera,Murina shuipuensis,12
Chiroptera,Murina suilla,125
Chiroptera,Murina tenebrosa,1
Chiroptera,Murina tubinaris,94
Chiroptera,Murina ussuriensis,76
Chiroptera,Murina walstoni,30
Chiroptera,Musonycteris harrisoni,131
Chiroptera,Myonycteris angolensis,101
Chiroptera,Myonycteris brachycephala,22
Chiroptera,Myonycteris leptodon,386
Chiroptera,Myonycteris relicta,40
Chiroptera,Myonycteris torquata,714
Chiroptera,Myopterus daubentonii,22
Chiroptera,Myopterus whitleyi,49
Chiroptera,Myotis adversus,614
Chiroptera,Myotis albescens,2368
Chiroptera,Myotis alcathoe,54
Chiroptera,Myotis altarium,28
Chiroptera,Myotis alticraniatus,38
Chiroptera,Myotis ancricola,4
Chiroptera,Myotis anjouanensis,6
Chiroptera,Myotis annamiticus,14
Chiroptera,Myotis annatessae,9
Chiroptera,Myotis annectans,42
Chiroptera,Myotis armiensis,11
Chiroptera,Myotis atacamensis,24
Chiroptera,Myotis ater,359
Chiroptera,Myotis attenboroughi,11
Chiroptera,Myotis auriculus,561
Chiroptera,Myotis australis,3
Chiroptera,Myotis austroriparius,1074
