order,species,frozen,tissue,buffer,tissUbuff
Chiroptera,Histiotus alienus,0,0,0,0
Chiroptera,Histiotus humboldti,0,0,0,0
Chiroptera,Histiotus laephotis,0,0,0,0
Chiroptera,Histiotus macrotus,0,65,5,68
Chiroptera,Histiotus magellanicus,0,4,0,4
Chiroptera,Histiotus montanus,0,5,22,27
Chiroptera,Histiotus velatus,0,0,11,11
Chiroptera,Hsunycteris cadenai,0,4,1,4
Chiroptera,Hsunycteris dashe,0,0,0,0
Chiroptera,Hsunycteris pattoni,0,1,0,1
Chiroptera,Hsunycteris thomasi,6,54,14,65
Chiroptera,Hylonycteris underwoodi,2,13,15,28
Chiroptera,Hypsignathus monstrosus,0,2,24,26
Chiroptera,Hypsugo affinis,0,0,0,0
Chiroptera,Hypsugo alaschanicus,0,0,0,0
Chiroptera,Hypsugo arabicus,0,0,0,0
Chiroptera,Hypsugo ariel,0,2,0,2
Chiroptera,Hypsugo cadornae,1,1,0,1
Chiroptera,Hypsugo dolichodon,0,0,0,0
Chiroptera,Hypsugo imbricatus,0,0,27,27
Chiroptera,Hypsugo kitcheneri,0,0,0,0
Chiroptera,Hypsugo lophurus,0,0,0,0
Chiroptera,Hypsugo macrotis,0,0,3,3
Chiroptera,Hypsugo mordax,0,0,0,0
Chiroptera,Hypsugo musciculus,0,0,0,0
Chiroptera,Hypsugo petersi,0,2,6,8
Chiroptera,Hypsugo pulveratus,0,0,1,1
Chiroptera,Hypsugo savii,0,3,10,13
Chiroptera,Hypsugo vordermanni,0,0,0,0
Chiroptera,Ia io,0,0,3,3
Chiroptera,Icaronycteris index,0,0,0,0
Chiroptera,Idionycteris phyllotis,0,18,16,25
Chiroptera,Kerivoula africana,0,0,0,0
Chiroptera,Kerivoula agnella,0,0,0,0
Chiroptera,Kerivoula argentata,0,0,4,4
Chiroptera,Kerivoula crypta,0,0,0,0
Chiroptera,Kerivoula cuprosa,0,0,0,0
Chiroptera,Kerivoula depressa,0,0,0,0
Chiroptera,Kerivoula eriophora,0,0,0,0
Chiroptera,Kerivoula flora,0,0,0,0
Chiroptera,Kerivoula furva,0,0,0,0
Chiroptera,Kerivoula hardwickii,0,13,36,49
Chiroptera,Kerivoula intermedia,0,3,0,3
Chiroptera,Kerivoula kachinensis,0,0,3,3
Chiroptera,Kerivoula krauensis,0,0,0,0
Chiroptera,Kerivoula lanosa,0,0,1,1
Chiroptera,Kerivoula lenis,0,6,0,6
Chiroptera,Kerivoula minuta,0,8,15,22
Chiroptera,Kerivoula muscina,0,0,0,0
Chiroptera,Kerivoula myrella,0,0,3,3
Chiroptera,Kerivoula papillosa,0,11,11,22
Chiroptera,Kerivoula pellucida,0,8,10,18
Chiroptera,Kerivoula phalaena,0,0,0,0
Chiroptera,Kerivoula picta,5,0,4,4
Chiroptera,Kerivoula smithii,0,0,0,0
Chiroptera,Kerivoula titania,0,4,0,4
Chiroptera,Kerivoula whiteheadi,0,10,2,12
Chiroptera,Laephotis angolensis,0,0,0,0
Chiroptera,Laephotis botswanae,0,0,0,0
Chiroptera,Laephotis capensis,0,84,99,176
Chiroptera,Laephotis kirinyaga,0,0,0,0
Chiroptera,Laephotis malagasyensis,0,0,2,2
Chiroptera,Laephotis matroka,0,7,3,10
Chiroptera,Laephotis namibensis,0,0,0,0
Chiroptera,Laephotis robertsi,0,0,0,0
Chiroptera,Laephotis stanleyi,0,0,0,0
Chiroptera,Laephotis wintoni,0,1,0,1
Chiroptera,Lampronycteris brachyotis,3,11,9,19
Chiroptera,Lasionycteris noctivagans,6,283,218,418
Chiroptera,Lasiurus arequipae,0,0,0,0
Chiroptera,Lasiurus atratus,0,0,0,0
Chiroptera,Lasiurus blossebillii,0,0,0,0
Chiroptera,Lasiurus blossevillii,1,58,32,85
Chiroptera,Lasiurus borealis,65,613,1104,1412
Chiroptera,Lasiurus castaneus,0,0,0,0
Chiroptera,Lasiurus degelidus,0,0,0,0
Chiroptera,Lasiurus ebenus,0,0,0,0
Chiroptera,Lasiurus frantzii,2,35,24,54
Chiroptera,Lasiurus minor,0,0,1,1
Chiroptera,Lasiurus pfeifferi,0,0,0,0
Chiroptera,Lasiurus seminolus,0,9,126,130
Chiroptera,Lasiurus varius,0,4,0,4
Chiroptera,Latidens salimalii,0,0,0,0
Chiroptera,Lavia frons,0,12,122,134
Chiroptera,Leptonycteris curasoae,0,16,49,65
Chiroptera,Leptonycteris nivalis,0,7,438,443
Chiroptera,Leptonycteris yerbabuenae,5,175,588,626
Chiroptera,Lichonycteris degener,0,0,0,0
Chiroptera,Lichonycteris obscura,0,4,9,13
Chiroptera,Lionycteris spurrelli,6,34,12,41
Chiroptera,Lissonycteris angolensis,0,20,48,68
Chiroptera,Lonchophylla bokermanni,0,0,1,1
Chiroptera,Lonchophylla chocoana,0,0,0,0
Chiroptera,Lonchophylla concava,0,7,30,34
Chiroptera,Lonchophylla dekeyseri,0,1,0,1
Chiroptera,Lonchophylla fornicata,0,0,0,0
Chiroptera,Lonchophylla handleyi,0,11,26,27
Chiroptera,Lonchophylla hesperia,0,11,9,18
Chiroptera,Lonchophylla inexpectata,0,0,0,0
Chiroptera,Lonchophylla mordax,1,30,19,39
Chiroptera,Lonchophylla orienticollina,0,1,1,1
Chiroptera,Lonchophylla robusta,0,12,83,93
Chiroptera,Lonchorhina aurita,0,18,34,48
Chiroptera,Lonchorhina fernandezi,0,0,0,0
Chiroptera,Lonchorhina inusitata,0,2,0,2
