order,species,frozen,tissue,buffer
Chiroptera,Hipposideros beatus,0,1,8
Chiroptera,Hipposideros bicolor,0,34,47
Chiroptera,Hipposideros boeadii,0,0,0
Chiroptera,Hipposideros breviceps,0,0,0
Chiroptera,Hipposideros caffer,5,70,28
Chiroptera,Hipposideros calcaratus,8,7,0
Chiroptera,Hipposideros ceruinus,0,0,0
Chiroptera,Hipposideros cervinus,275,354,12
Chiroptera,Hipposideros cineraceus,0,1,0
Chiroptera,Hipposideros coronatus,0,0,0
Chiroptera,Hipposideros coxi,0,2,0
Chiroptera,Hipposideros crumeniferus,0,0,0
Chiroptera,Hipposideros curtus,0,0,1
Chiroptera,Hipposideros demissus,0,0,0
Chiroptera,Hipposideros diadema,13,144,79
Chiroptera,Hipposideros dinops,4,0,0
Chiroptera,Hipposideros doriae,0,2,0
Chiroptera,Hipposideros durgadasi,0,0,0
Chiroptera,Hipposideros dyacorum,0,3,0
Chiroptera,Hipposideros einnaythu,0,0,0
Chiroptera,Hipposideros fuliginosus,0,0,6
Chiroptera,Hipposideros fulvus,0,0,0
Chiroptera,Hipposideros galeritus,0,13,4
Chiroptera,Hipposideros gentilis,0,1,2
Chiroptera,Hipposideros grandis,0,1,0
Chiroptera,Hipposideros griffini,0,0,0
Chiroptera,Hipposideros griffoni,0,0,0
Chiroptera,Hipposideros halophyllus,0,0,0
Chiroptera,Hipposideros hypophyllus,0,0,0
Chiroptera,Hipposideros inexpectatus,0,0,0
Chiroptera,Hipposideros inornatus,75,82,8
Chiroptera,Hipposideros ipposideros,0,0,0
Chiroptera,Hipposideros jonesi,0,0,0
Chiroptera,Hipposideros khaokhouayensis,0,0,0
Chiroptera,Hipposideros kunzi,0,0,0
Chiroptera,Hipposideros lamottei,0,0,0
Chiroptera,Hipposideros lankadiva,0,0,1
Chiroptera,Hipposideros larvatus,38,38,27
Chiroptera,Hipposideros lekaguli,0,3,0
Chiroptera,Hipposideros lylei,0,0,0
Chiroptera,Hipposideros macrobullatus,0,0,0
Chiroptera,Hipposideros macrobullotus,0,0,0
Chiroptera,Hipposideros madurae,0,0,0
Chiroptera,Hipposideros maggietaylorae,0,14,0
Chiroptera,Hipposideros marisae,0,0,0
Chiroptera,Hipposideros megalotis,0,0,0
Chiroptera,Hipposideros nequam,0,0,0
Chiroptera,Hipposideros nicobarulae,0,0,0
Chiroptera,Hipposideros obscurus,0,30,4
Chiroptera,Hipposideros orbiculus,0,0,0
Chiroptera,Hipposideros papua,0,0,0
Chiroptera,Hipposideros pelingensis,0,0,0
Chiroptera,Hipposideros pendleburyi,0,0,0
Chiroptera,Hipposideros pomona,0,0,1
Chiroptera,Hipposideros pratti,0,0,4
Chiroptera,Hipposideros pygmaeus,0,25,2
Chiroptera,Hipposideros ridleyi,0,2,0
Chiroptera,Hipposideros rotalis,0,0,0
Chiroptera,Hipposideros ruber,0,21,108
Chiroptera,Hipposideros scutinares,0,0,0
Chiroptera,Hipposideros sorenseni,0,0,0
Chiroptera,Hipposideros speoris,0,0,11
Chiroptera,Hipposideros sumbae,0,0,0
Chiroptera,Hipposideros tephrus,0,0,0
Chiroptera,Hipposideros turpis,0,0,0
Chiroptera,Histiotus alienus,0,0,0
Chiroptera,Histiotus humboldti,0,0,0
Chiroptera,Histiotus laephotis,0,0,0
Chiroptera,Histiotus macrotus,0,65,0
Chiroptera,Histiotus magellanicus,0,4,0
Chiroptera,Histiotus montanus,0,5,3
Chiroptera,Histiotus velatus,0,0,11
Chiroptera,Hsunycteris cadenai,0,4,0
Chiroptera,Hsunycteris dashe,0,0,0
Chiroptera,Hsunycteris pattoni,0,1,0
Chiroptera,Hsunycteris thomasi,6,54,2
Chiroptera,Hylonycteris underwoodi,2,13,4
Chiroptera,Hypsignathus monstrosus,0,2,7
Chiroptera,Hypsugo affinis,0,0,0
Chiroptera,Hypsugo alaschanicus,0,0,0
Chiroptera,Hypsugo arabicus,0,0,0
Chiroptera,Hypsugo ariel,0,2,0
Chiroptera,Hypsugo cadornae,1,1,0
Chiroptera,Hypsugo dolichodon,0,0,0
Chiroptera,Hypsugo imbricatus,0,0,27
Chiroptera,Hypsugo kitcheneri,0,0,0
Chiroptera,Hypsugo lophurus,0,0,0
Chiroptera,Hypsugo macrotis,0,0,0
Chiroptera,Hypsugo mordax,0,0,0
Chiroptera,Hypsugo musciculus,0,0,0
Chiroptera,Hypsugo petersi,0,2,1
Chiroptera,Hypsugo pulveratus,0,0,0
Chiroptera,Hypsugo savii,0,3,0
Chiroptera,Hypsugo vordermanni,0,0,0
Chiroptera,Ia io,0,0,0
Chiroptera,Icaronycteris index,0,0,0
Chiroptera,Idionycteris phyllotis,0,18,0
Chiroptera,Kerivoula africana,0,0,0
Chiroptera,Kerivoula agnella,0,0,0
Chiroptera,Kerivoula argentata,0,0,0
Chiroptera,Kerivoula crypta,0,0,0
Chiroptera,Kerivoula cuprosa,0,0,0
Chiroptera,Kerivoula depressa,0,0,0
Chiroptera,Kerivoula eriophora,0,0,0
Chiroptera,Kerivoula flora,0,0,0
Chiroptera,Kerivoula furva,0,0,0
Chiroptera,Kerivoula hardwickii,0,13,2
Chiroptera,Kerivoula intermedia,0,3,0
Chiroptera,Kerivoula kachinensis,0,0,0
Chiroptera,Kerivoula krauensis,0,0,0
Chiroptera,Kerivoula lanosa,0,0,0
Chiroptera,Kerivoula lenis,0,6,0
Chiroptera,Kerivoula minuta,0,8,5
Chiroptera,Kerivoula muscina,0,0,0
Chiroptera,Kerivoula myrella,0,0,0
Chiroptera,Kerivoula papillosa,0,11,0
Chiroptera,Kerivoula pellucida,0,8,0
Chiroptera,Kerivoula phalaena,0,0,0
Chiroptera,Kerivoula picta,5,0,2
Chiroptera,Kerivoula smithii,0,0,0
Chiroptera,Kerivoula titania,0,4,0
Chiroptera,Kerivoula whiteheadi,0,10,2
Chiroptera,Laephotis angolensis,0,0,0
Chiroptera,Laephotis botswanae,0,0,0
Chiroptera,Laephotis capensis,0,84,13
Chiroptera,Laephotis kirinyaga,0,0,0
Chiroptera,Laephotis malagasyensis,0,0,0
Chiroptera,Laephotis matroka,0,7,2
Chiroptera,Laephotis namibensis,0,0,0
Chiroptera,Laephotis robertsi,0,0,0
Chiroptera,Laephotis stanleyi,0,0,0
Chiroptera,Laephotis wintoni,0,1,0
Chiroptera,Lampronycteris brachyotis,3,11,1
Chiroptera,Lasionycteris noctivagans,6,283,20
Chiroptera,Lasiurus arequipae,0,0,0
Chiroptera,Lasiurus atratus,0,0,0
Chiroptera,Lasiurus blossebillii,0,0,0
Chiroptera,Lasiurus blossevillii,1,58,1
Chiroptera,Lasiurus borealis,65,613,99
Chiroptera,Lasiurus castaneus,0,0,0
Chiroptera,Lasiurus degelidus,0,0,0
Chiroptera,Lasiurus ebenus,0,0,0
Chiroptera,Lasiurus frantzii,2,35,0
Chiroptera,Lasiurus minor,0,0,1
Chiroptera,Lasiurus pfeifferi,0,0,0
Chiroptera,Lasiurus seminolus,0,9,8
Chiroptera,Lasiurus varius,0,4,0
Chiroptera,Latidens salimalii,0,0,0
Chiroptera,Lavia frons,0,12,16
Chiroptera,Leptonycteris curasoae,0,16,1
Chiroptera,Leptonycteris nivalis,0,7,139
Chiroptera,Leptonycteris yerbabuenae,5,175,6
Chiroptera,Lichonycteris degener,0,0,0
Chiroptera,Lichonycteris obscura,0,4,0
Chiroptera,Lionycteris spurrelli,6,34,2
Chiroptera,Lissonycteris angolensis,0,20,17
Chiroptera,Lonchophylla bokermanni,0,0,0
Chiroptera,Lonchophylla chocoana,0,0,0
Chiroptera,Lonchophylla concava,0,7,0
Chiroptera,Lonchophylla dekeyseri,0,1,0
Chiroptera,Lonchophylla fornicata,0,0,0
Chiroptera,Lonchophylla handleyi,0,11,0
Chiroptera,Lonchophylla hesperia,0,11,1
Chiroptera,Lonchophylla inexpectata,0,0,0
Chiroptera,Lonchophylla mordax,1,30,1
Chiroptera,Lonchophylla orienticollina,0,1,0
Chiroptera,Lonchophylla robusta,0,12,25
Chiroptera,Lonchorhina aurita,0,18,8
Chiroptera,Lonchorhina fernandezi,0,0,0
Chiroptera,Lonchorhina inusitata,0,2,0
Chiroptera,Lonchorhina marinkellei,0,0,0
Chiroptera,Lonchorhina orinocensis,0,0,0
Chiroptera,Lophostoma brasiliense,2,20,1
Chiroptera,Lophostoma carrikeri,4,6,0
Chiroptera,Lophostoma evotis,0,3,2
Chiroptera,Lophostoma kalkoae,0,0,0
Chiroptera,Lophostoma occidentale,0,13,0
Chiroptera,Lophostoma schulzi,1,3,0
Chiroptera,Lophostoma silvicola,13,87,9
Chiroptera,Lyroderma lyra,0,5,0
Chiroptera,Macroderma gigas,2,10,19
Chiroptera,Macroglossus minimus,189,339,36
Chiroptera,Macroglossus sobrinus,2,7,0
Chiroptera,Macronycteris commersonii,1,32,6
Chiroptera,Macronycteris cryptovalorona,0,0,0
Chiroptera,Macronycteris gigas,1,1,0
Chiroptera,Macronycteris thomensis,0,0,0
Chiroptera,Macronycteris vittatus,0,5,6
Chiroptera,Macrophyllum macrophyllum,1,7,2
Chiroptera,Macrotus californicus,2,31,4
Chiroptera,Macrotus waterhousii,11,101,195
Chiroptera,Megaderma spasma,0,16,49
Chiroptera,Megaerops albicollis,0,0,0
Chiroptera,Megaerops ecaudatus,3,18,0
Chiroptera,Megaerops kusnotoi,0,0,0
Chiroptera,Megaerops niphanae,0,1,0
Chiroptera,Megaloglossus azagnyi,0,0,0
Chiroptera,Megaloglossus woermanni,2,28,5
Chiroptera,Melonycteris melanops,0,3,0
Chiroptera,Mesophylla macconnelli,7,47,1
Chiroptera,Micronomus norfolkensis,3,3,10
Chiroptera,Micronycteris brosseti,2,2,0
Chiroptera,Micronycteris buriri,0,17,0
Chiroptera,Micronycteris giovanniae,0,0,0
Chiroptera,Micronycteris hirsuta,4,25,0
Chiroptera,Micronycteris matses,2,3,0
Chiroptera,Micronycteris megalotis,1,61,11
Chiroptera,Micronycteris microtis,7,33,15
Chiroptera,Micronycteris minuta,3,25,6
Chiroptera,Micronycteris sanborni,0,0,0
Chiroptera,Micronycteris schmidtorum,1,5,0
Chiroptera,Micronycteris simmonsae,0,0,0
Chiroptera,Micronycteris tresamici,0,0,0
Chiroptera,Micronycteris yatesi,0,0,0
Chiroptera,Mimetillus moloneyi,2,3,0
Chiroptera,Mimon bennettii,0,8,0
Chiroptera,Mimon cozumelae,2,4,1
Chiroptera,Miniopterus aelleni,0,10,0
Chiroptera,Miniopterus africanus,0,16,0
Chiroptera,Miniopterus ambohitrensis,0,2,0
Chiroptera,Miniopterus arenarius,0,2,1
Chiroptera,Miniopterus australis,142,250,86
Chiroptera,Miniopterus blepotis,0,0,30
Chiroptera,Miniopterus brachytragos,0,4,0
Chiroptera,Miniopterus egeri,0,4,0
Chiroptera,Miniopterus eschscholtzii,0,15,58
Chiroptera,Miniopterus fraterculus,0,0,0
Chiroptera,Miniopterus fuliginosus,0,0,7
Chiroptera,Miniopterus fuscus,0,0,0
Chiroptera,Miniopterus gleni,0,15,0
Chiroptera,Miniopterus griffithsi,0,3,0
Chiroptera,Miniopterus griveaudi,0,35,0
Chiroptera,Miniopterus inflatus,0,31,50
Chiroptera,Miniopterus macrocneme,0,0,0
Chiroptera,Miniopterus maghrebensis,0,0,0
Chiroptera,Miniopterus magnater,0,3,2
Chiroptera,Miniopterus mahafaliensis,0,19,0
Chiroptera,Miniopterus majori,0,14,2
Chiroptera,Miniopterus manavi,0,12,23
Chiroptera,Miniopterus medius,0,0,0
Chiroptera,Miniopterus minor,4,16,6
