order,species,taxonKey,n
Chiroptera,Cynomops planirostris,9882630,6
Chiroptera,Cynomops planirostris,10254922,19
Chiroptera,Cynomops planirostris,10406088,17
Chiroptera,Cynomops planirostris,10428465,4
Chiroptera,Cynopterus brachyotis,2432837,3712
Chiroptera,Cynopterus brachyotis,4265687,4
Chiroptera,Cynopterus brachyotis,4265688,2
Chiroptera,Cynopterus brachyotis,4265690,214
Chiroptera,Cynopterus brachyotis,4265698,11
Chiroptera,Cynopterus brachyotis,4265700,4
Chiroptera,Cynopterus brachyotis,4265708,1
Chiroptera,Cynopterus brachyotis,7261745,1284
Chiroptera,Cynopterus brachyotis,9842820,10
Chiroptera,Cynopterus brachyotis,10446393,33
Chiroptera,Cynopterus brachyotis,10481927,1
Chiroptera,Cynopterus brachyotis,10724199,13
Chiroptera,Cynopterus horsfieldii,2432835,131
Chiroptera,Cynopterus horsfieldii,4265691,30
Chiroptera,Cynopterus horsfieldii,4265702,3
Chiroptera,Cynopterus horsfieldii,4265709,23
Chiroptera,Cynopterus horsfieldii,7261747,180
Chiroptera,Cynopterus horsfieldii,7261748,88
Chiroptera,Cynopterus horsfieldii,8762470,2
Chiroptera,Cynopterus horsfieldii,10050943,12
Chiroptera,Cynopterus luzoniensis,4265693,637
Chiroptera,Cynopterus luzoniensis,8176751,4
Chiroptera,Cynopterus minutus,4265710,14
Chiroptera,Cynopterus nusatenggara,2432838,50
Chiroptera,Cynopterus sphinx,2432836,1618
Chiroptera,Cynopterus sphinx,4265685,114
Chiroptera,Cynopterus sphinx,4265686,22
Chiroptera,Cynopterus sphinx,4265695,3
Chiroptera,Cynopterus sphinx,4265697,5
Chiroptera,Cynopterus sphinx,4265704,564
Chiroptera,Cynopterus sphinx,4265705,1
Chiroptera,Cynopterus sphinx,10597927,127
Chiroptera,Cynopterus sphinx,10698659,1
Chiroptera,Cynopterus titthaecheilus,2432833,618
Chiroptera,Cynopterus titthaecheilus,2432834,25
Chiroptera,Cynopterus titthaecheilus,4265689,20
Chiroptera,Cynopterus titthaecheilus,4265699,31
Chiroptera,Cynopterus titthaecheilus,7261746,163
Chiroptera,Cynopterus titthaecheilus,9072406,6
Chiroptera,Cynopterus titthaecheilus,10086164,2
Chiroptera,Cyttarops alecto,2433138,36
Chiroptera,Cyttarops alecto,10161754,2
Chiroptera,Cyttarops alecto,10521922,1
Chiroptera,Dasypterus ega,5218540,741
Chiroptera,Dasypterus ega,5707195,252
Chiroptera,Dasypterus ega,5707196,43
Chiroptera,Dasypterus ega,5707199,7
Chiroptera,Dasypterus ega,7261858,27
Chiroptera,Dasypterus ega,8949627,119
Chiroptera,Dasypterus ega,9196419,33
